system   D            wsystem.c:583  maybe_parent_dir                 [   0.00044] Also searching C:\Users\Luis\documents\GitHub\DroneWars1.0\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00066] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00067] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00373] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.01186] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.01189] Allegro version: 5.0.10
dtor     D               dtor.c:184  _al_register_destructor          [   0.01263] added dtor for object 00A76DE0, func 555824D2
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.01382] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.01383] al_display=00A45D00
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.01384] al_display->vt=00A45C38
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.01828] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.01830] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01831] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01832] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01833] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01833] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01834] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01835] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01836] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.01837] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01838] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.01838] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01839] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.01840] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01841] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.01842] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01843] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.01843] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01844] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.01845] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01846] Score is : 897
